code,name,pop,waterpercent,water_stress
TGO,Togo,"1,168",0.20,0
TTO,Trinidad and Tobago,"2,200",0.00,20.33
TUN,Tunisia,207,0.79,98.11
TUR,Turkey,593,0.00,0
TKM,Turkmenistan,161,0.00,0
UGA,Uganda,"1,180",0.17,5.83
UKR,Ukraine,565,0.00,0
ARE,United Arab Emirates,78,0.00,0
#N/A,United Kingdom,"1,220",0.00,0
#N/A,United States,715,0.00,0
URY,Uruguay,"1,300",0.00,0
UZB,Uzbekistan,206,0.00,0
VUT,Vanuatu,"2,000",0.00,0
#N/A,Venezuela,"2,044",0.00,0
#N/A,Vietnam,"1,821",0.00,0
YEM,Yemen,167,0.00,0
ZMB,Zambia,"1,020",0.65,2.84
ZWE,Zimbabwe,657,0.30,35.41
